genre,total_count,year,danceability,energy,instrumentalness,speechiness,tempo,valence
experimental,246,1967,0.47019918699187,0.481581707317073,0.121270491544715,0.0531975609756098,118.139085365854,0.521239837398374
experimental,284,1968,0.437733450704225,0.422593909507043,0.282774745845071,0.0646070422535211,115.411440140845,0.430219718309859
experimental,175,1969,0.404715428571429,0.502224571428572,0.147457360685714,0.0726422857142857,117.381548571429,0.479853714285714
experimental,226,1970,0.420766371681416,0.501214469026549,0.292334427345133,0.0752181415929203,119.384862831858,0.493312831858407
experimental,201,1971,0.396676616915423,0.511655970149253,0.369213176318408,0.0755179104477612,115.639328358209,0.396811940298507
experimental,167,1972,0.414864670658682,0.462950898203593,0.402990105449102,0.0732017964071856,114.484395209581,0.421907185628743
experimental,251,1973,0.439200796812749,0.599653784860557,0.300217618047809,0.0930601593625498,121.824924302789,0.456768525896414
experimental,255,1974,0.418818039215686,0.496047450980392,0.240102960078431,0.077958431372549,114.578360784314,0.456074117647059
experimental,248,1975,0.42430564516129,0.463310766129032,0.41061695875,0.0762822580645161,116.170165322581,0.410525403225806
experimental,224,1976,0.45896875,0.503223258928572,0.279988904598214,0.0862986607142857,123.127089285714,0.458025
experimental,220,1977,0.458412727272727,0.514390909090909,0.361483372545454,0.0743386363636364,123.307118181818,0.459014090909091
experimental,419,1978,0.458407875894988,0.533424630071599,0.322792524367542,0.0823563245823388,122.271565632458,0.463579952267303
experimental,337,1979,0.488008902077152,0.60878940652819,0.331466218991098,0.0936243323442136,126.633620178041,0.511970623145401
experimental,490,1980,0.478781020408163,0.640085918367347,0.327212102632653,0.0861820408163266,123.804863265306,0.497636530612245
experimental,535,1981,0.483007663551402,0.635975887850468,0.340485544523365,0.0885229906542056,127.708024299066,0.48055906542056
experimental,599,1982,0.456646744574291,0.604693088480802,0.341280883806344,0.0898200333889816,124.612754590985,0.451364106844741
experimental,478,1983,0.451018410041841,0.586011652719665,0.416973317510461,0.096213179916318,121.304135983264,0.453724895397489
experimental,609,1984,0.484432183908046,0.569472479474549,0.294763104975369,0.105451067323481,119.936755336618,0.465332676518883
experimental,503,1985,0.459786282306163,0.596158449304175,0.375997374771372,0.0882025844930418,123.377530815109,0.409682703777336
experimental,554,1986,0.443470036101083,0.538982918772563,0.399498751805053,0.0739250902527076,119.617368231047,0.384315523465704
experimental,541,1987,0.427526617375231,0.583517208872458,0.392509067116451,0.076726247689464,117.655402957486,0.382458964879852
experimental,650,1988,0.459625538461538,0.617319384615385,0.331499949107692,0.0847486153846154,123.042761538462,0.430389384615384
experimental,577,1989,0.432427036395147,0.51335431594454,0.407919746256499,0.0845183708838821,117.544648180243,0.357911438474871
experimental,827,1990,0.45147484885127,0.556231027811367,0.33493144503023,0.116915477629988,120.302438935913,0.436479081015719
experimental,912,1991,0.427840021929825,0.475054501096491,0.329510678574562,0.0872964912280703,114.329163377193,0.369132346491228
experimental,896,1992,0.417200223214286,0.520556231026786,0.358940937254464,0.0880315848214286,119.729825892857,0.341627566964286
experimental,837,1993,0.41831541218638,0.543635483154121,0.348581653632019,0.109194743130227,117.734783751493,0.350055555555556
experimental,830,1994,0.418324457831325,0.495624856626506,0.457657969445783,0.100470361445783,119.244269879518,0.341261927710843
experimental,872,1995,0.429102064220184,0.561322318119266,0.377533693176606,0.0867959862385321,120.416998853211,0.373640366972477
experimental,1135,1996,0.433158942731277,0.550427903964757,0.432199937207048,0.0964354185022026,120.585018502203,0.35897554185022
experimental,772,1997,0.416893523316063,0.527878246113989,0.429197536541451,0.0966633419689119,120.156365284974,0.332719559585492
experimental,982,1998,0.412728411405295,0.529985410997964,0.419074161293279,0.0903229124236251,117.5775,0.333651629327902
experimental,1211,1999,0.43756647398844,0.505293510322048,0.426207408125516,0.126549876135425,116.46597853014,0.350830222956235
experimental,1213,2000,0.427585737840066,0.543200609480627,0.384142684995878,0.0911503709810389,118.308172300082,0.357253371805441
experimental,912,2001,0.411027631578948,0.525978621929824,0.43370470424342,0.0805986842105263,119.651081140351,0.328375657894737
experimental,990,2002,0.420646767676768,0.554360393939394,0.420658958060606,0.10237797979798,114.662397979798,0.323074343434343
experimental,1281,2003,0.444464715066354,0.577987962217018,0.405967962802498,0.0939293520686963,119.141589383294,0.388513739266198
experimental,1113,2004,0.425316352201258,0.550210920035939,0.413376443845462,0.0897657681940702,117.826955974843,0.374448427672956
experimental,1966,2005,0.405860885045778,0.54213537283825,0.403583807385555,0.0841475076297049,116.76082706002,0.372505900305188
experimental,1798,2006,0.404130812013348,0.558968051167965,0.405013592269189,0.0829271968854282,117.629444382647,0.365673748609567
experimental,1934,2007,0.410308376421923,0.555326649948293,0.423952429601861,0.0872759048603929,116.847918821096,0.348998603929679
experimental,1669,2008,0.424256201318154,0.557121258418215,0.446306041725584,0.0926730377471539,119.698416417016,0.354091072498502
experimental,1963,2009,0.408512531839022,0.571714401426389,0.434158308273051,0.0803921039225675,120.192719816607,0.358817575140091
experimental,2369,2010,0.423767032503165,0.56607307273111,0.393557722507388,0.0942546644153655,119.70964499789,0.372505023216546
experimental,2418,2011,0.407723325062036,0.497536003019023,0.5294106376799,0.0988095947063687,114.193686931348,0.314542382133996
experimental,2510,2012,0.429955338645417,0.494817234900399,0.410313023649402,0.118931952191235,114.296326693227,0.33159438247012
experimental,3300,2013,0.465487303030302,0.470395165636365,0.526262858760606,0.099880515151515,113.762100909091,0.346581363636364
